행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101056,종로구,평창동,01,55,767 ,55 ,6 ,3 ,4 ,2 ,20 ,9 ,4 ,5 ,4 ,15 ,,,,,,,,,,,
1101056,종로구,평창동,01,60,537 ,42 ,4 ,2 ,2 ,2 ,3 ,5 ,2 ,5 ,2 ,4 ,,,,,,,,,,,
1101056,종로구,평창동,01,65,396 ,34 ,2 ,1 ,3 ,0 ,1 ,3 ,1 ,1 ,5 ,0 ,,,,,,,,,,,
1101056,종로구,평창동,01,70,307 ,27 ,4 ,1 ,0 ,0 ,2 ,1 ,1 ,1 ,2 ,0 ,,,,,,,,,,,
1101056,종로구,평창동,01,75,503 ,123 ,4 ,0 ,14 ,1 ,8 ,3 ,1 ,2 ,9 ,2 ,,,,,,,,,,,
1101056,종로구,평창동,02,20,606 ,65 ,5 ,1 ,2 ,2 ,3 ,14 ,3 ,3 ,1 ,3 ,,,,,,,,,,,
1101056,종로구,평창동,02,25,557 ,62 ,4 ,2 ,2 ,3 ,10 ,19 ,4 ,11 ,3 ,17 ,,,,,,,,,,,
1101056,종로구,평창동,02,30,603 ,72 ,8 ,5 ,5 ,4 ,4 ,32 ,5 ,7 ,2 ,7 ,,,,,,,,,,,
1101056,종로구,평창동,02,35,587 ,60 ,4 ,3 ,2 ,2 ,2 ,22 ,4 ,8 ,2 ,2 ,,,,,,,,,,,
1101056,종로구,평창동,02,40,805 ,61 ,5 ,4 ,1 ,2 ,11 ,15 ,3 ,8 ,3 ,11 ,,,,,,,,,,,
1101056,종로구,평창동,02,45,957 ,69 ,6 ,5 ,3 ,4 ,3 ,16 ,6 ,9 ,3 ,6 ,,,,,,,,,,,
1101056,종로구,평창동,02,50,932 ,69 ,3 ,3 ,3 ,3 ,11 ,9 ,4 ,7 ,7 ,11 ,,,,,,,,,,,
1101056,종로구,평창동,02,55,837 ,64 ,5 ,3 ,2 ,4 ,9 ,6 ,5 ,5 ,5 ,7 ,,,,,,,,,,,
1101056,종로구,평창동,02,60,593 ,50 ,3 ,4 ,3 ,4 ,2 ,3 ,5 ,6 ,2 ,5 ,,,,,,,,,,,
1101056,종로구,평창동,02,65,458 ,46 ,3 ,1 ,2 ,1 ,1 ,2 ,1 ,2 ,5 ,1 ,,,,,,,,,,,
1101056,종로구,평창동,02,70,481 ,52 ,6 ,2 ,0 ,3 ,5 ,1 ,4 ,6 ,2 ,0 ,,,,,,,,,,,
1101056,종로구,평창동,02,75,856 ,252 ,6 ,3 ,9 ,3 ,5 ,4 ,3 ,7 ,12 ,3 ,,,,,,,,,,,
1101057,종로구,무악동,01,20,226 ,25 ,4 ,3 ,1 ,3 ,0 ,5 ,2 ,1 ,2 ,3 ,,,,,,,,,,,
1101057,종로구,무악동,01,25,193 ,20 ,3 ,2 ,1 ,2 ,8 ,6 ,3 ,3 ,1 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,01,30,232 ,35 ,6 ,4 ,4 ,3 ,16 ,16 ,4 ,2 ,1 ,8 ,,,,,,,,,,,
1101057,종로구,무악동,01,35,248 ,33 ,3 ,2 ,4 ,1 ,3 ,17 ,3 ,1 ,0 ,3 ,,,,,,,,,,,
1101057,종로구,무악동,01,40,398 ,31 ,5 ,2 ,5 ,2 ,4 ,11 ,3 ,2 ,5 ,3 ,,,,,,,,,,,
1101057,종로구,무악동,01,45,402 ,27 ,4 ,1 ,2 ,1 ,3 ,10 ,2 ,2 ,2 ,2 ,,,,,,,,,,,
1101057,종로구,무악동,01,50,343 ,31 ,3 ,1 ,3 ,1 ,4 ,5 ,1 ,2 ,6 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,01,55,297 ,31 ,2 ,1 ,3 ,1 ,0 ,3 ,1 ,3 ,3 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,01,60,201 ,21 ,2 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,01,65,154 ,27 ,2 ,1 ,4 ,1 ,2 ,1 ,1 ,1 ,2 ,2 ,,,,,,,,,,,
1101057,종로구,무악동,01,70,133 ,24 ,3 ,0 ,1 ,0 ,2 ,1 ,1 ,1 ,2 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,01,75,176 ,49 ,1 ,0 ,7 ,1 ,0 ,0 ,0 ,2 ,3 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,20,234 ,24 ,2 ,2 ,2 ,2 ,0 ,4 ,1 ,1 ,1 ,2 ,,,,,,,,,,,
1101057,종로구,무악동,02,25,233 ,28 ,4 ,3 ,2 ,3 ,12 ,7 ,4 ,3 ,1 ,9 ,,,,,,,,,,,
1101057,종로구,무악동,02,30,223 ,31 ,1 ,2 ,3 ,2 ,0 ,11 ,2 ,3 ,3 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,35,307 ,38 ,3 ,1 ,4 ,0 ,0 ,12 ,2 ,1 ,1 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,40,434 ,30 ,2 ,2 ,2 ,2 ,3 ,8 ,2 ,4 ,3 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,45,346 ,22 ,1 ,1 ,1 ,1 ,2 ,7 ,1 ,2 ,1 ,4 ,,,,,,,,,,,
1101057,종로구,무악동,02,50,369 ,37 ,1 ,2 ,3 ,1 ,0 ,3 ,2 ,2 ,6 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,55,325 ,32 ,2 ,1 ,2 ,1 ,0 ,3 ,2 ,2 ,4 ,3 ,,,,,,,,,,,
1101057,종로구,무악동,02,60,227 ,26 ,1 ,3 ,2 ,3 ,0 ,1 ,3 ,4 ,1 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,65,208 ,47 ,5 ,1 ,4 ,2 ,0 ,1 ,2 ,6 ,5 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,70,157 ,36 ,3 ,1 ,3 ,1 ,0 ,0 ,1 ,6 ,3 ,0 ,,,,,,,,,,,
1101057,종로구,무악동,02,75,292 ,100 ,1 ,1 ,4 ,1 ,0 ,0 ,1 ,4 ,4 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,01,20,154 ,19 ,2 ,1 ,0 ,1 ,2 ,3 ,2 ,2 ,1 ,0 ,,,,,,,,,,,
1101058,종로구,교남동,01,25,158 ,22 ,5 ,2 ,2 ,2 ,4 ,5 ,4 ,3 ,2 ,6 ,,,,,,,,,,,
1101058,종로구,교남동,01,30,173 ,31 ,5 ,2 ,4 ,1 ,2 ,10 ,4 ,3 ,2 ,3 ,,,,,,,,,,,
1101058,종로구,교남동,01,35,173 ,27 ,4 ,2 ,2 ,0 ,0 ,10 ,2 ,2 ,2 ,0 ,,,,,,,,,,,
1101058,종로구,교남동,01,40,239 ,31 ,5 ,2 ,4 ,2 ,3 ,7 ,2 ,2 ,3 ,4 ,,,,,,,,,,,
1101058,종로구,교남동,01,45,206 ,26 ,3 ,2 ,3 ,1 ,2 ,5 ,2 ,2 ,2 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,01,50,243 ,31 ,5 ,2 ,2 ,1 ,2 ,3 ,3 ,3 ,5 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,01,55,181 ,24 ,3 ,1 ,3 ,1 ,3 ,2 ,1 ,2 ,2 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,01,60,155 ,21 ,3 ,1 ,3 ,1 ,5 ,2 ,2 ,2 ,1 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,01,65,148 ,31 ,2 ,1 ,4 ,0 ,0 ,1 ,0 ,1 ,4 ,0 ,,,,,,,,,,,
1101058,종로구,교남동,01,70,84 ,17 ,3 ,1 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,2 ,,,,,,,,,,,
1101058,종로구,교남동,01,75,138 ,46 ,1 ,1 ,6 ,0 ,3 ,0 ,0 ,1 ,3 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,20,143 ,20 ,2 ,1 ,2 ,1 ,0 ,3 ,1 ,1 ,1 ,1 ,,,,,,,,,,,
1101058,종로구,교남동,02,25,160 ,25 ,3 ,2 ,2 ,2 ,2 ,7 ,3 ,2 ,1 ,5 ,,,,,,,,,,,
1101058,종로구,교남동,02,30,176 ,28 ,3 ,2 ,1 ,2 ,2 ,7 ,3 ,1 ,2 ,4 ,,,,,,,,,,,
